Instância, Algortimo, Passos, Tempo, Memória Máxima, Nós Expandidos, Fator de Ramificação
1203567491011813141512, BFS, 4, 0.00100, 59, 51, 2.14
1203567491011813141512, IDS, 4, 0.00100, 8, 20, 3.10
1203567491011813141512, A_STAR_H1, 4, 0.00000, 5, 4, 2.00
1203567491011813141512, A_STAR_H2, 4, 0.00000, 5, 4, 2.00
1203567491011813141512, BIDIRECTIONAL_H1, 4, 0.00000, 6, 4, 2.00
1203567491011813141512, BIDIRECTIONAL_H2, 4, 0.00000, 6, 4, 2.00

1203567491011813141512, BFS, 4, 0.00000, 59, 51, 2.14
1203567491011813141512, IDS, 4, 0.00100, 8, 20, 3.10
1203567491011813141512, A_STAR_H1, 4, 0.00000, 5, 4, 2.00
1203567491011813141512, A_STAR_H2, 4, 0.00000, 5, 4, 2.00
1203567491011813141512, BIDIRECTIONAL_H1, 4, 0.00000, 6, 4, 2.00
1203567491011813141512, BIDIRECTIONAL_H2, 4, 0.00000, 6, 4, 2.00

1234567809101113141512, BFS, 4, 0.00000, 66, 55, 2.18
1234567809101113141512, IDS, 4, 0.00100, 11, 19, 3.21
1234567809101113141512, A_STAR_H1, 4, 0.00000, 8, 4, 2.75
1234567809101113141512, A_STAR_H2, 4, 0.00000, 8, 4, 2.75
1234567809101113141512, BIDIRECTIONAL_H1, 4, 0.00000, 8, 4, 2.50
1234567809101113141512, BIDIRECTIONAL_H2, 4, 0.00000, 8, 4, 2.50

1234561179100813141512, BFS, 4, 0.00000, 48, 46, 2.02
1234561179100813141512, IDS, 4, 0.00100, 9, 48, 3.17
1234561179100813141512, A_STAR_H1, 4, 0.00000, 8, 4, 2.75
1234561179100813141512, A_STAR_H2, 4, 0.00000, 8, 4, 2.75
1234561179100813141512, BIDIRECTIONAL_H1, 4, 0.00000, 9, 4, 2.75
1234561179100813141512, BIDIRECTIONAL_H2, 4, 0.00000, 9, 4, 2.75

5124963701011813141512, BFS, 8, 0.00600, 628, 582, 2.08
5124963701011813141512, IDS, 8, 0.00700, 17, 985, 3.13
5124963701011813141512, A_STAR_H1, 8, 0.00100, 10, 8, 2.12
5124963701011813141512, A_STAR_H2, 8, 0.00100, 10, 8, 2.12
5124963701011813141512, BIDIRECTIONAL_H1, 8, 0.00100, 11, 8, 2.12
5124963701011813141512, BIDIRECTIONAL_H2, 8, 0.00100, 11, 8, 2.12

1234567891412151311100, BFS, 8, 0.00600, 617, 570, 2.08
1234567891412151311100, IDS, 8, 0.00500, 15, 648, 3.11
1234567891412151311100, A_STAR_H1, 8, 0.00000, 23, 16, 2.38
1234567891412151311100, A_STAR_H2, 8, 0.00100, 12, 9, 2.22
1234567891412151311100, BIDIRECTIONAL_H1, 8, 0.00100, 33, 24, 2.29
1234567891412151311100, BIDIRECTIONAL_H2, 8, 0.00000, 15, 12, 2.08

1234506810117129131415, BFS, 8, 0.01400, 1444, 1364, 2.06
1234506810117129131415, IDS, 8, 0.00500, 18, 709, 3.15
1234506810117129131415, A_STAR_H1, 8, 0.00000, 13, 8, 2.50
1234506810117129131415, A_STAR_H2, 8, 0.00000, 13, 8, 2.50
1234506810117129131415, BIDIRECTIONAL_H1, 8, 0.00000, 14, 8, 2.50
1234506810117129131415, BIDIRECTIONAL_H2, 8, 0.00100, 14, 8, 2.50

1273561109108413141512, BFS, 8, 0.00800, 762, 704, 2.08
1273561109108413141512, IDS, 8, 0.00600, 18, 866, 3.14
1273561109108413141512, A_STAR_H1, 8, 0.00000, 15, 14, 2.00
1273561109108413141512, A_STAR_H2, 8, 0.00000, 11, 8, 2.25
1273561109108413141512, BIDIRECTIONAL_H1, 8, 0.00000, 26, 20, 2.20
1273561109108413141512, BIDIRECTIONAL_H2, 8, 0.00100, 12, 8, 2.25

2634178059101113141512, BFS, 10, 0.04101, 4533, 4358, 2.04
2634178059101113141512, IDS, 10, 0.01800, 21, 2676, 3.13
2634178059101113141512, A_STAR_H1, 10, 0.00000, 15, 10, 2.40
2634178059101113141512, A_STAR_H2, 10, 0.00100, 15, 10, 2.40
2634178059101113141512, BIDIRECTIONAL_H1, 10, 0.00100, 16, 10, 2.40
2634178059101113141512, BIDIRECTIONAL_H2, 10, 0.00000, 16, 10, 2.40

1234567091011121314815, BFS, 10, 0.03801, 4162, 3985, 2.04
1234567091011121314815, IDS, 10, 0.02100, 21, 3073, 3.13
1234567091011121314815, A_STAR_H1, 10, 0.00100, 56, 47, 2.17
1234567091011121314815, A_STAR_H2, 10, 0.00100, 24, 20, 2.15
1234567091011121314815, BIDIRECTIONAL_H1, 10, 0.00200, 101, 86, 2.15
1234567091011121314815, BIDIRECTIONAL_H2, 10, 0.00100, 43, 34, 2.21

5123607491012813141115, BFS, 10, 0.04701, 4873, 4776, 2.02
5123607491012813141115, IDS, 10, 0.02701, 22, 4318, 3.13
5123607491012813141115, A_STAR_H1, 10, 0.00000, 12, 10, 2.10
5123607491012813141115, A_STAR_H2, 10, 0.00100, 12, 10, 2.10
5123607491012813141115, BIDIRECTIONAL_H1, 10, 0.00100, 14, 10, 2.20
5123607491012813141115, BIDIRECTIONAL_H2, 10, 0.00000, 14, 10, 2.20

0374152896111213101415, BFS, 10, 0.02601, 2725, 2570, 2.06
0374152896111213101415, IDS, 10, 0.01900, 20, 2871, 3.14
0374152896111213101415, A_STAR_H1, 10, 0.00100, 20, 15, 2.27
0374152896111213101415, A_STAR_H2, 10, 0.00000, 15, 10, 2.40
0374152896111213101415, BIDIRECTIONAL_H1, 10, 0.00000, 29, 22, 2.23
0374152896111213101415, BIDIRECTIONAL_H2, 10, 0.00100, 18, 12, 2.33

6523917401011813141512, BFS, 12, 0.10102, 10119, 10001, 2.01
6523917401011813141512, IDS, 12, 0.13403, 26, 20397, 3.13
6523917401011813141512, A_STAR_H1, 12, 0.00100, 23, 26, 1.85
6523917401011813141512, A_STAR_H2, 12, 0.00100, 17, 17, 1.94
6523917401011813141512, BIDIRECTIONAL_H1, 12, 0.00000, 33, 34, 1.91
6523917401011813141512, BIDIRECTIONAL_H2, 12, 0.00100, 21, 22, 1.86

1273561141015089131412, BFS, 12, 0.24706, 22198, 22316, 1.99
1273561141015089131412, IDS, 12, 0.10302, 24, 15924, 3.13
1273561141015089131412, A_STAR_H1, 12, 0.00100, 26, 25, 2.00
1273561141015089131412, A_STAR_H2, 12, 0.00000, 16, 12, 2.25
1273561141015089131412, BIDIRECTIONAL_H1, 12, 0.00100, 29, 26, 2.04
1273561141015089131412, BIDIRECTIONAL_H2, 12, 0.00100, 16, 12, 2.17

5124100386971113141512, BFS, 12, 0.20605, 20106, 20138, 2.00
5124100386971113141512, IDS, 12, 0.12303, 26, 18895, 3.13
5124100386971113141512, A_STAR_H1, 12, 0.00100, 54, 38, 2.39
5124100386971113141512, A_STAR_H2, 12, 0.00000, 18, 12, 2.42
5124100386971113141512, BIDIRECTIONAL_H1, 12, 0.00100, 44, 32, 2.31
5124100386971113141512, BIDIRECTIONAL_H2, 12, 0.00100, 20, 12, 2.50

1234567891011141315120, BFS, 12, 0.15704, 15077, 15050, 2.00
1234567891011141315120, IDS, 12, 0.05401, 21, 8216, 3.14
1234567891011141315120, A_STAR_H1, 12, 0.00200, 114, 99, 2.14
1234567891011141315120, A_STAR_H2, 12, 0.00200, 53, 43, 2.21
1234567891011141315120, BIDIRECTIONAL_H1, 12, 0.00300, 151, 124, 2.20
